,mgr_r
1977-12,-0.010220524237533658
1978-01,-0.04131135985245522
1978-02,0.0005715246071887983
1978-03,0.021832992494877378
1978-04,0.048377144096079454
1978-05,0.007045052850374066
1978-06,0.005374359968916057
1978-07,0.04094174462304824
1978-08,0.018743387147874976
1978-09,0.011800689493490727
1978-10,-0.08560026282205752
1978-11,0.013807943728337487
1978-12,0.028042481848407796
1979-01,0.024708379868807046
1979-02,-0.030642033412066595
1979-03,0.04010114966659579
1979-04,0.014155985354974159
1979-05,-0.03842679998669886
1979-06,0.043350838779600734
1979-07,0.024442798719106387
1979-08,0.08625577589062138
1979-09,-0.016600851620985124
1979-10,-0.04929039763385567
1979-11,0.06191675968008226
1979-12,0.03293515016158495
1980-01,0.012994077862436618
1980-02,-0.0380635428013979
1980-03,-0.04702363583874101
1980-04,0.061855823422017425
1980-05,0.06478136914143529
1980-06,0.033094894348024845
1980-07,0.0635587283765332
1980-08,0.0007445097241535434
1980-09,-0.006666308001067342
1980-10,0.025465675243003316
1980-11,0.0061960773137546485
1980-12,-0.003929195996637546
1981-01,0.00116516809098013
1981-02,0.03562221372500658
1981-03,0.05291961340947735
1981-04,-0.006276682115341876
1981-05,0.024583829967075498
1981-06,0.006380251363504778
1981-07,0.006810721691932049
1981-08,-0.033852782806144587
1981-09,-0.016266900394798837
1981-10,0.0594981964746244
1981-11,0.030706694837540918
1981-12,-0.020646506531884733
1982-01,-0.005909416956304184
1982-02,-0.016227926892351082
1982-03,0.039626839233897766
1982-04,0.07348381048242578
1982-05,-0.024999472129744883
1982-06,0.0007479832133154563
1982-07,-0.01730785287526241
1982-08,0.07277124305104528
1982-09,0.01933608248210514
1982-10,0.07170418729472242
1982-11,0.011043810665070961
1982-12,-0.011088432391012376
1983-01,-0.009292992269837055
1983-02,0.0266208227369632
1983-03,0.0686647617278255
1983-04,0.038787926391294275
1983-05,-0.03198424772541939
1983-06,0.0025824197055797173
1983-07,0.0071483258741103705
1983-08,0.03226016884774314
1983-09,0.0514049100280022
1983-10,-0.004156936332108474
1983-11,-0.004010200131895794
1983-12,0.015310527676067357
1984-01,0.007110252255078244
1984-02,-0.05508628513434428
1984-03,-0.000533787689236875
1984-04,-0.003805274223475652
1984-05,-0.005666584284120582
1984-06,0.03633654307189334
1984-07,-0.01363947802953426
1984-08,0.06575391431847206
1984-09,0.018975317319097997
1984-10,0.018451706593863592
1984-11,0.006233678093643526
1984-12,0.009417017422324475
1985-01,0.02919721173784572
1985-02,0.062244919303092505
1985-03,0.02530392444989931
1985-04,-0.031668948821837836
1985-05,0.03285182442124223
1985-06,0.021661029059812133
1985-07,-0.01939721537266419
1985-08,0.011015821708672036
1985-09,-0.05565615191490919
1985-10,0.0028142345707283297
